"Order ID","Customer ID","cl_order_date","order_year","order_month","sales","recency","frequency","monetary","r_score","f_score","m_score","rfm_score","segment","cl_year"
"CA-2013-152156","CG-12520","2013-11-09T00:00:00.000Z","2013","11","261.96","338","5","1148.7800000000002","5","5","4","554","Top Customers","2013"
"CA-2013-152156","CG-12520","2013-11-09T00:00:00.000Z","2013","11","731.94","338","5","1148.7800000000002","5","5","4","554","Top Customers","2013"
"CA-2013-138688","DV-13045","2013-06-13T00:00:00.000Z","2013","6","14.62","19","9","1119.4830000000002","1","4","4","144","At Risk Customers","2013"
"US-2012-108966","SO-20335","2012-10-11T00:00:00.000Z","2012","10","957.5775","29","15","2602.575500000001","2","2","3","223","Low Value Customers","2012"
"US-2012-108966","SO-20335","2012-10-11T00:00:00.000Z","2012","10","22.368","29","15","2602.575500000001","2","2","3","223","Low Value Customers","2012"
"CA-2011-115812","BH-11710","2011-06-09T00:00:00.000Z","2011","6","48.86","23","24","6255.351000000001","1","1","1","111","Low Value Customers","2011"
"CA-2011-115812","BH-11710","2011-06-09T00:00:00.000Z","2011","6","7.28","23","24","6255.351000000001","1","1","1","111","Low Value Customers","2011"
"CA-2011-115812","BH-11710","2011-06-09T00:00:00.000Z","2011","6","907.152","23","24","6255.351000000001","1","1","1","111","Low Value Customers","2011"
"CA-2011-115812","BH-11710","2011-06-09T00:00:00.000Z","2011","6","18.504","23","24","6255.351000000001","1","1","1","111","Low Value Customers","2011"
"CA-2011-115812","BH-11710","2011-06-09T00:00:00.000Z","2011","6","114.9","23","24","6255.351000000001","1","1","1","111","Low Value Customers","2011"
"CA-2011-115812","BH-11710","2011-06-09T00:00:00.000Z","2011","6","1706.184","23","24","6255.351000000001","1","1","1","111","Low Value Customers","2011"
"CA-2011-115812","BH-11710","2011-06-09T00:00:00.000Z","2011","6","911.424","23","24","6255.351000000001","1","1","1","111","Low Value Customers","2011"
"CA-2014-114412","AA-10480","2014-04-16T00:00:00.000Z","2014","4","15.552","259","12","1790.512","5","3","3","533","Loyal Customers","2014"
"CA-2013-161389","IM-15070","2013-12-06T00:00:00.000Z","2013","12","407.976","390","21","4930.473999999999","5","1","1","511","Growing Customers","2013"
"US-2012-118983","HP-14815","2012-11-22T00:00:00.000Z","2012","11","68.81","30","10","1990.314","2","4","3","243","At Risk Customers","2012"
"US-2012-118983","HP-14815","2012-11-22T00:00:00.000Z","2012","11","2.544","30","10","1990.314","2","4","3","243","At Risk Customers","2012"
"CA-2011-105893","PK-19075","2011-11-11T00:00:00.000Z","2011","11","665.88","9","25","8646.933999999997","1","1","1","111","Low Value Customers","2011"
"CA-2011-167164","AG-10270","2011-05-13T00:00:00.000Z","2011","5","55.5","278","14","2582.8979999999997","5","2","3","523","Growing Customers","2011"
"CA-2011-143336","ZD-21925","2011-08-27T00:00:00.000Z","2011","8","8.56","202","9","1493.944","4","4","4","444","Top Customers","2011"
"CA-2011-143336","ZD-21925","2011-08-27T00:00:00.000Z","2011","8","213.48","202","9","1493.944","4","4","4","444","Top Customers","2011"
"CA-2011-143336","ZD-21925","2011-08-27T00:00:00.000Z","2011","8","22.72","202","9","1493.944","4","4","4","444","Top Customers","2011"
"CA-2013-137330","KB-16585","2013-12-10T00:00:00.000Z","2013","12","19.46","230","23","2744.742","5","1","3","513","Growing Customers","2013"
"CA-2013-137330","KB-16585","2013-12-10T00:00:00.000Z","2013","12","60.34","230","23","2744.742","5","1","3","513","Growing Customers","2013"
"US-2014-156909","SF-20065","2014-07-17T00:00:00.000Z","2014","7","71.372","59","9","763.5459999999998","3","4","5","345","Loyal Customers","2014"
"CA-2012-106320","EB-13870","2012-09-25T00:00:00.000Z","2012","9","1044.63","100","11","2767.219","3","3","2","332","Loyal Customers","2012"
"CA-2013-121755","EH-13945","2013-01-16T00:00:00.000Z","2013","1","11.648","217","17","684.171","4","2","5","425","Growing Customers","2013"
"CA-2013-121755","EH-13945","2013-01-16T00:00:00.000Z","2013","1","90.57","217","17","684.171","4","2","5","425","Growing Customers","2013"
"US-2012-150630","TB-21520","2012-09-17T00:00:00.000Z","2012","9","3083.43","107","20","4737.486","4","1","1","411","Growing Customers","2012"
"US-2012-150630","TB-21520","2012-09-17T00:00:00.000Z","2012","9","9.618","107","20","4737.486","4","1","1","411","Growing Customers","2012"
"US-2012-150630","TB-21520","2012-09-17T00:00:00.000Z","2012","9","124.2","107","20","4737.486","4","1","1","411","Growing Customers","2012"
"US-2012-150630","TB-21520","2012-09-17T00:00:00.000Z","2012","9","3.264","107","20","4737.486","4","1","1","411","Growing Customers","2012"
"US-2012-150630","TB-21520","2012-09-17T00:00:00.000Z","2012","9","86.304","107","20","4737.486","4","1","1","411","Growing Customers","2012"
"US-2012-150630","TB-21520","2012-09-17T00:00:00.000Z","2012","9","6.858","107","20","4737.486","4","1","1","411","Growing Customers","2012"
"US-2012-150630","TB-21520","2012-09-17T00:00:00.000Z","2012","9","15.76","107","20","4737.486","4","1","1","411","Growing Customers","2012"
"CA-2014-107727","MA-17560","2014-10-20T00:00:00.000Z","2014","10","29.472","64","34","4299.160999999999","3","1","1","311","Growing Customers","2014"
"CA-2013-117590","GH-14485","2013-12-09T00:00:00.000Z","2013","12","1097.544","387","3","1361.2440000000001","5","5","4","554","Top Customers","2013"
"CA-2013-117590","GH-14485","2013-12-09T00:00:00.000Z","2013","12","190.92","387","3","1361.2440000000001","5","5","4","554","Top Customers","2013"
"CA-2012-117415","SN-20710","2012-12-27T00:00:00.000Z","2012","12","113.328","79","19","3127.9592000000007","3","1","2","312","Growing Customers","2012"
"CA-2012-117415","SN-20710","2012-12-27T00:00:00.000Z","2012","12","532.3992","79","19","3127.9592000000007","3","1","2","312","Growing Customers","2012"
"CA-2012-117415","SN-20710","2012-12-27T00:00:00.000Z","2012","12","212.058","79","19","3127.9592000000007","3","1","2","312","Growing Customers","2012"
"CA-2012-117415","SN-20710","2012-12-27T00:00:00.000Z","2012","12","371.168","79","19","3127.9592000000007","3","1","2","312","Growing Customers","2012"
"CA-2014-120999","LC-16930","2014-09-11T00:00:00.000Z","2014","9","147.168","41","14","4492.946","2","2","1","221","Low Value Customers","2014"
"CA-2013-101343","RA-19885","2013-07-18T00:00:00.000Z","2013","7","77.88","43","15","3832.3139999999994","2","2","2","222","Low Value Customers","2013"
"CA-2014-139619","ES-14080","2014-09-20T00:00:00.000Z","2014","9","95.616","28","20","4657.924","2","1","1","211","Low Value Customers","2014"
"CA-2013-118255","ON-18715","2013-03-12T00:00:00.000Z","2013","3","45.98","410","15","1567.52","5","2","4","524","Growing Customers","2013"
"CA-2013-118255","ON-18715","2013-03-12T00:00:00.000Z","2013","3","17.46","410","15","1567.52","5","2","4","524","Growing Customers","2013"
"CA-2011-146703","PO-18865","2011-10-20T00:00:00.000Z","2011","10","211.96","0","13","2493.2140000000004","1","3","3","133","At Risk Customers","2011"
"CA-2013-169194","LH-16900","2013-06-21T00:00:00.000Z","2013","6","45","21","15","2295.3320000000003","1","2","3","123","Low Value Customers","2013"
"CA-2013-169194","LH-16900","2013-06-21T00:00:00.000Z","2013","6","21.8","21","15","2295.3320000000003","1","2","3","123","Low Value Customers","2013"
"CA-2012-115742","DP-13000","2012-04-18T00:00:00.000Z","2012","4","38.22","126","17","1050.636","4","2","4","424","Growing Customers","2012"
"CA-2012-115742","DP-13000","2012-04-18T00:00:00.000Z","2012","4","75.18","126","17","1050.636","4","2","4","424","Growing Customers","2012"
"CA-2012-115742","DP-13000","2012-04-18T00:00:00.000Z","2012","4","6.16","126","17","1050.636","4","2","4","424","Growing Customers","2012"
"CA-2012-115742","DP-13000","2012-04-18T00:00:00.000Z","2012","4","89.99","126","17","1050.636","4","2","4","424","Growing Customers","2012"
"CA-2013-105816","JM-15265","2013-12-12T00:00:00.000Z","2013","12","15.26","37","13","1804.1460000000002","2","3","3","233","At Risk Customers","2013"
"CA-2013-105816","JM-15265","2013-12-12T00:00:00.000Z","2013","12","1029.95","37","13","1804.1460000000002","2","3","3","233","At Risk Customers","2013"
"CA-2013-111682","TB-21055","2013-06-18T00:00:00.000Z","2013","6","208.56","119","18","1467.881","4","2","4","424","Growing Customers","2013"
"CA-2013-111682","TB-21055","2013-06-18T00:00:00.000Z","2013","6","32.4","119","18","1467.881","4","2","4","424","Growing Customers","2013"
"CA-2013-111682","TB-21055","2013-06-18T00:00:00.000Z","2013","6","319.41","119","18","1467.881","4","2","4","424","Growing Customers","2013"
"CA-2013-111682","TB-21055","2013-06-18T00:00:00.000Z","2013","6","14.56","119","18","1467.881","4","2","4","424","Growing Customers","2013"
"CA-2013-111682","TB-21055","2013-06-18T00:00:00.000Z","2013","6","30","119","18","1467.881","4","2","4","424","Growing Customers","2013"
"CA-2013-111682","TB-21055","2013-06-18T00:00:00.000Z","2013","6","48.48","119","18","1467.881","4","2","4","424","Growing Customers","2013"
"CA-2013-111682","TB-21055","2013-06-18T00:00:00.000Z","2013","6","1.68","119","18","1467.881","4","2","4","424","Growing Customers","2013"
"CA-2012-135545","KM-16720","2012-11-24T00:00:00.000Z","2012","11","13.98","28","28","4909.472000000001","2","1","1","211","Low Value Customers","2012"
"CA-2012-135545","KM-16720","2012-11-24T00:00:00.000Z","2012","11","25.824","28","28","4909.472000000001","2","1","1","211","Low Value Customers","2012"
"CA-2012-135545","KM-16720","2012-11-24T00:00:00.000Z","2012","11","146.73","28","28","4909.472000000001","2","1","1","211","Low Value Customers","2012"
"CA-2012-135545","KM-16720","2012-11-24T00:00:00.000Z","2012","11","79.76","28","28","4909.472000000001","2","1","1","211","Low Value Customers","2012"
"US-2012-164175","PS-18970","2012-04-30T00:00:00.000Z","2012","4","213.115","69","13","1278.6390000000001","3","3","4","334","Loyal Customers","2012"
"CA-2011-106376","BS-11590","2011-12-05T00:00:00.000Z","2011","12","1113.024","35","10","2454.9280000000003","2","4","3","243","At Risk Customers","2011"
"CA-2011-106376","BS-11590","2011-12-05T00:00:00.000Z","2011","12","167.968","35","10","2454.9280000000003","2","4","3","243","At Risk Customers","2011"
"CA-2013-119823","KD-16270","2013-06-05T00:00:00.000Z","2013","6","75.88","484","16","8282.358","5","2","1","521","Growing Customers","2013"
"CA-2013-106075","HM-14980","2013-09-19T00:00:00.000Z","2013","9","4.616","247","7","736.276","5","5","5","555","Top Customers","2013"
"CA-2014-114440","TB-21520","2014-09-15T00:00:00.000Z","2014","9","19.05","107","20","4737.486","4","1","1","411","Growing Customers","2014"
"US-2012-134026","JE-15745","2012-04-26T00:00:00.000Z","2012","4","831.936","51","23","6760.814999999999","2","1","1","211","Low Value Customers","2012"
"US-2012-134026","JE-15745","2012-04-26T00:00:00.000Z","2012","4","97.04","51","23","6760.814999999999","2","1","1","211","Low Value Customers","2012"
"US-2012-134026","JE-15745","2012-04-26T00:00:00.000Z","2012","4","72.784","51","23","6760.814999999999","2","1","1","211","Low Value Customers","2012"
"US-2014-118038","KB-16600","2014-12-10T00:00:00.000Z","2014","12","1.248","1","9","983.922","1","4","4","144","At Risk Customers","2014"
"US-2014-118038","KB-16600","2014-12-10T00:00:00.000Z","2014","12","9.708","1","9","983.922","1","4","4","144","At Risk Customers","2014"
"US-2014-118038","KB-16600","2014-12-10T00:00:00.000Z","2014","12","27.24","1","9","983.922","1","4","4","144","At Risk Customers","2014"
"US-2011-147606","JE-15745","2011-11-26T00:00:00.000Z","2011","11","19.3","51","23","6760.814999999999","2","1","1","211","Low Value Customers","2011"
"CA-2013-127208","SC-20770","2013-06-13T00:00:00.000Z","2013","6","208.16","41","21","4492.656999999999","2","1","1","211","Low Value Customers","2013"
"CA-2013-127208","SC-20770","2013-06-13T00:00:00.000Z","2013","6","16.74","41","21","4492.656999999999","2","1","1","211","Low Value Customers","2013"
"CA-2011-139451","DN-13690","2011-10-12T00:00:00.000Z","2011","10","14.9","217","11","2139.7900000000004","4","3","3","433","Loyal Customers","2011"
"CA-2011-139451","DN-13690","2011-10-12T00:00:00.000Z","2011","10","21.39","217","11","2139.7900000000004","4","3","3","433","Loyal Customers","2011"
"CA-2012-149734","JC-16105","2012-09-03T00:00:00.000Z","2012","9","200.984","57","9","858.576","3","4","5","345","Loyal Customers","2012"
"US-2014-119662","CS-12400","2014-11-14T00:00:00.000Z","2014","11","230.376","2","14","3651.8585000000007","1","2","2","122","Low Value Customers","2014"
"CA-2014-140088","PO-18865","2014-05-29T00:00:00.000Z","2014","5","301.96","0","13","2493.2140000000004","1","3","3","133","At Risk Customers","2014"
"CA-2014-155558","PG-18895","2014-10-27T00:00:00.000Z","2014","10","19.99","57","17","1987.1640000000002","3","2","3","323","Growing Customers","2014"
"CA-2014-155558","PG-18895","2014-10-27T00:00:00.000Z","2014","10","6.16","57","17","1987.1640000000002","3","2","3","323","Growing Customers","2014"
"CA-2013-159695","GM-14455","2013-04-06T00:00:00.000Z","2013","4","158.368","16","12","3078.6240000000003","1","3","2","132","At Risk Customers","2013"
"CA-2013-109806","JS-15685","2013-09-18T00:00:00.000Z","2013","9","20.1","42","11","1131.0639999999999","2","3","4","234","At Risk Customers","2013"
"CA-2013-109806","JS-15685","2013-09-18T00:00:00.000Z","2013","9","73.584","42","11","1131.0639999999999","2","3","4","234","At Risk Customers","2013"
"CA-2013-109806","JS-15685","2013-09-18T00:00:00.000Z","2013","9","6.48","42","11","1131.0639999999999","2","3","4","234","At Risk Customers","2013"
"CA-2012-149587","KB-16315","2012-01-31T00:00:00.000Z","2012","1","12.96","296","22","1569.4640000000002","5","1","4","514","Growing Customers","2012"
"CA-2012-149587","KB-16315","2012-01-31T00:00:00.000Z","2012","1","53.34","296","22","1569.4640000000002","5","1","4","514","Growing Customers","2012"
"CA-2012-149587","KB-16315","2012-01-31T00:00:00.000Z","2012","1","32.96","296","22","1569.4640000000002","5","1","4","514","Growing Customers","2012"
"US-2014-109484","RB-19705","2014-11-07T00:00:00.000Z","2014","11","5.682","54","7","2067.45","3","4","3","343","Loyal Customers","2014"
"CA-2014-161018","PN-18775","2014-11-10T00:00:00.000Z","2014","11","96.53","30","13","1467.152","2","3","4","234","At Risk Customers","2014"
"CA-2014-157833","KD-16345","2014-06-18T00:00:00.000Z","2014","6","51.312","41","10","1888.964","2","4","3","243","At Risk Customers","2014"
"CA-2013-149223","ER-13855","2013-09-07T00:00:00.000Z","2013","9","77.88","421","5","1245.788","5","5","4","554","Top Customers","2013"
"CA-2013-158568","RB-19465","2013-08-30T00:00:00.000Z","2013","8","64.624","9","23","4715.466000000001","1","1","1","111","Low Value Customers","2013"
"CA-2013-158568","RB-19465","2013-08-30T00:00:00.000Z","2013","8","95.976","9","23","4715.466000000001","1","1","1","111","Low Value Customers","2013"
"CA-2013-158568","RB-19465","2013-08-30T00:00:00.000Z","2013","8","1.788","9","23","4715.466000000001","1","1","1","111","Low Value Customers","2013"
"CA-2013-129903","GZ-14470","2013-12-02T00:00:00.000Z","2013","12","23.92","7","14","4355.15","1","2","1","121","Low Value Customers","2013"
"US-2012-156867","LC-16870","2012-11-13T00:00:00.000Z","2012","11","238.896","27","30","2580.7039999999997","2","1","3","213","Low Value Customers","2012"
"US-2012-156867","LC-16870","2012-11-13T00:00:00.000Z","2012","11","102.36","27","30","2580.7039999999997","2","1","3","213","Low Value Customers","2012"
"US-2012-156867","LC-16870","2012-11-13T00:00:00.000Z","2012","11","36.882","27","30","2580.7039999999997","2","1","3","213","Low Value Customers","2012"
"CA-2014-119004","JM-15250","2014-11-24T00:00:00.000Z","2014","11","74.112","37","19","3159.1220000000003","2","1","2","212","Low Value Customers","2014"
"CA-2014-119004","JM-15250","2014-11-24T00:00:00.000Z","2014","11","27.992","37","19","3159.1220000000003","2","1","2","212","Low Value Customers","2014"
"CA-2014-119004","JM-15250","2014-11-24T00:00:00.000Z","2014","11","3.304","37","19","3159.1220000000003","2","1","2","212","Low Value Customers","2014"
